time|run_time|number of errors|number of sites checked|CE|RT|CT|UK|bad
Thu Feb 11 00:13:44 2016|1.12800002098|0|1|0|0|0|0|0|
Thu Feb 11 00:15:46 2016|1.20599985123|0|1|0|0|0|0|0|
Thu Feb 11 00:17:47 2016|1.23900008202|0|1|0|0|0|0|0|
Thu Feb 11 00:19:48 2016|1.17100000381|0|1|0|0|0|0|0|
Thu Feb 11 00:21:49 2016|1.01900005341|0|1|0|0|0|0|0|
Thu Feb 11 00:23:50 2016|1.125|0|1|0|0|0|0|0|
Thu Feb 11 00:25:51 2016|1.19400000572|0|1|0|0|0|0|0|
Thu Feb 11 00:27:53 2016|1.14899992943|0|1|0|0|0|0|0|
Thu Feb 11 00:29:54 2016|1.17900013924|0|1|0|0|0|0|0|
Thu Feb 11 00:31:55 2016|1.15799999237|0|1|0|0|0|0|0|
Thu Feb 11 00:33:56 2016|1.06599998474|0|1|0|0|0|0|0|
Thu Feb 11 00:35:57 2016|1.19499993324|0|1|0|0|0|0|0|
Thu Feb 11 00:37:58 2016|1.15599989891|0|1|0|0|0|0|0|
Thu Feb 11 00:39:59 2016|1.1130001545|0|1|0|0|0|0|0|
Thu Feb 11 00:42:01 2016|1.15199995041|0|1|0|0|0|0|0|
Thu Feb 11 00:44:02 2016|1.19600009918|0|1|0|0|0|0|0|
Thu Feb 11 00:46:03 2016|1.19699978828|0|1|0|0|0|0|0|
Thu Feb 11 00:48:04 2016|1.22600007057|0|1|0|0|0|0|0|
Thu Feb 11 00:50:06 2016|1.17700004578|0|1|0|0|0|0|0|
Thu Feb 11 00:52:07 2016|1.42700004578|0|1|0|0|0|0|0|
Thu Feb 11 00:54:08 2016|1.27999997139|0|1|0|0|0|0|0|
Thu Feb 11 00:56:13 2016|4.87300014496|0|1|0|0|0|0|0|
Thu Feb 11 00:58:14 2016|1.19299983978|0|1|0|0|0|0|0|
Thu Feb 11 01:00:16 2016|2.01399993896|0|1|0|0|0|0|0|
Thu Feb 11 01:02:18 2016|1.19600009918|0|1|0|0|0|0|0|
Thu Feb 11 01:04:19 2016|1.1890001297|0|1|0|0|0|0|0|
Thu Feb 11 01:06:20 2016|1.21000003815|0|1|0|0|0|0|0|
Thu Feb 11 01:08:21 2016|1.21500015259|0|1|0|0|0|0|0|
Thu Feb 11 01:10:23 2016|1.93600010872|0|1|0|0|0|0|0|
Thu Feb 11 01:12:25 2016|1.17000007629|0|1|0|0|0|0|0|
Thu Feb 11 01:14:26 2016|1.24900007248|0|1|0|0|0|0|0|
Thu Feb 11 01:16:27 2016|1.22000002861|0|1|0|0|0|0|0|
Thu Feb 11 01:18:28 2016|1.05999994278|0|1|0|0|0|0|0|
Thu Feb 11 01:20:30 2016|2.02100014687|0|1|0|0|0|0|0|
Thu Feb 11 01:22:31 2016|1.24399995804|0|1|0|0|0|0|0|
Thu Feb 11 01:24:33 2016|1.19199991226|0|1|0|0|0|0|0|
Thu Feb 11 01:26:34 2016|1.15899991989|0|1|0|0|0|0|0|
Thu Feb 11 01:28:35 2016|1.12000012398|0|1|0|0|0|0|0|
Thu Feb 11 01:30:36 2016|1.28500008583|0|1|0|0|0|0|0|
Thu Feb 11 01:32:37 2016|0.756999969482|0|1|0|0|0|0|0|
Thu Feb 11 01:34:38 2016|1.15900015831|0|1|0|0|0|0|0|
Thu Feb 11 01:36:39 2016|1.15100002289|0|1|0|0|0|0|0|
Thu Feb 11 01:38:41 2016|1.21800017357|0|1|0|0|0|0|0|
Thu Feb 11 01:40:42 2016|1.08200001717|0|1|0|0|0|0|0|
Thu Feb 11 01:42:43 2016|1.21000003815|0|1|0|0|0|0|0|
Thu Feb 11 01:44:44 2016|1.17300009727|0|1|0|0|0|0|0|
Thu Feb 11 01:46:45 2016|1.08599996567|0|1|0|0|0|0|0|
Thu Feb 11 01:48:47 2016|1.20600008965|0|1|0|0|0|0|0|
Thu Feb 11 01:50:48 2016|1.85300016403|0|1|0|0|0|0|0|
